Network Type,Band,Num_Carriers,SINR,RB,TH_CWD0,TH_CWD1,ANT,TRANS,RANK,BLER,CQI_CWD0,CQI_CWD1,MCS_CWD0,MCS_CWD1
CX,U,4,6.2,100,3.96,0.14,2x2,4,1,11.4,6,1,,
CX,L,4,11.7,73,37.42,35.83,4x4,4,2,8.8,9,8,256QAM,64QAM
CX,U,4,7.5,0,,,,,,0,9,6,,
CX,U,4,4.6,100,3.71,0.58,2x2,4,1,16.6,7,1,,
CX,L,4,11.7,73,30.13,38.65,4x4,4,2,8.9,8,10,64QAM,256QAM
CX,U,4,9.8,0,,,,,,0,6,3,,
CX,U,4,6.9,95,3.54,1.38,2x2,4,1,15,7,7,,
CX,L,4,10.4,73,34.17,34.43,4x4,4,2,9.3,8,8,256QAM,64QAM
CX,U,4,7.9,0,,,,,,0,9,1,,
CX,U,4,11.5,0,,,,,,0,7,2,,
CX,U,4,7,100,5.98,0.78,2x2,4,2,12.4,9,1,,
CX,L,3,9.1,73,32.66,31.71,4x4,4,2,0,8,,64QAM,64QAM
CX,U,3,7,0,,,,,,0,1,0,,
CX,U,3,15.7,0,,,,,,0,0,,,
CX,L,4,,0,,,,,,0,,,,
CX,U,4,10.4,12,34.17,34.43,,,2,9.3,8,8,,
CX,U,3,0,0,,,,,,9.9,1,0,,
CX,U,3,1.5,0,,,,,,0,0,0,,
CX,U,4,7,0,,,,,,0,3,0,,
